indeks,pendidikan,keluarga,makanan,perayaan,alam
a,0.6118861,0.3160879,0.47197998,0.4233328,0.588911
ab,0.6017333,0.2613698,0.3811131,0.3852976,0.55983996
aba,0.5755643,0.19040182,0.39193502,0.33378792,0.4344505
aba-aba,0.4068435,0.12939832,0.22526017,0.2836237,0.28581703
abad,0.47643483,0.17162421,0.26539636,0.29226995,0.34981316
abadi,0.5843054,0.25316334,0.2909757,0.337941,0.45592377
abadiah,0.57008296,0.20838451,0.30533504,0.34026688,0.4658662
abah,0.46878642,0.46953535,0.32277024,0.23557676,0.50545895
abah-abah,0.4694057,0.48405606,0.266511,0.21175082,0.46971953
abai,0.47895893,0.18458274,0.32860106,0.32432193,0.4214695
abaimana,0.37871134,0.12051073,0.31053713,0.2428815,0.4196808
abaka,0.279051,0.15366861,0.26272982,0.19282678,0.3111832
abaktinal,0.45810908,0.19746818,0.32718235,0.38297707,0.42820454
abakus,0.30968463,0.1376846,0.29290247,0.3247411,0.4389962
abal-abal,0.44760478,0.15680878,0.48227924,0.31360027,0.5641393
aban,0.4728894,0.16398081,0.3291547,0.3244112,0.40455475
abang,0.38193342,0.35879916,0.35414156,0.24345133,0.47811764
abangan,0.40835145,0.1711601,0.2681114,0.20398891,0.42141533
abangga,0.3388326,0.22067708,0.24085036,0.18731847,0.43823034
abar,0.33906958,0.13771634,0.2364155,0.28800833,0.32096842
abatoar,0.27002877,0.08176663,0.19367579,0.18802312,0.40778983
abau,0.3071058,0.11481824,0.23049125,0.25363404,0.32399684
abdas,0.53994393,0.21527982,0.32936838,0.27682662,0.379717
abdi,0.6343638,0.34053347,0.45364636,0.43289363,0.545303
abdikasi,0.5768975,0.25492212,0.3462075,0.35406697,0.48807004
abdomen,0.3835271,0.31463927,0.53817004,0.3194512,0.4224412
abdominal,0.4380256,0.18026674,0.31475818,0.31823862,0.3891726
abdu,0.496886,0.18032436,0.32899806,0.2564253,0.39051223
abduksi,0.531709,0.23737969,0.35505986,0.29661834,0.415105
abduktor,0.48908934,0.15738416,0.41035092,0.2906342,0.46344224
abece,0.3283639,0.16629612,0.3961517,0.24641111,0.43561244
aben,0.3509487,0.2393974,0.3867272,0.27290732,0.47893757
aberasi,0.5056949,0.37617362,0.4491778,0.5781164,0.6197531
abet,0.3599494,0.26649466,0.3994993,0.35662895,0.53611445
abian,0.361184,0.13054423,0.3194822,0.1456283,0.41620213
abid,0.5047608,0.24499677,0.41595015,0.23654714,0.52448
abidin,0.6382126,0.3144124,0.38111287,0.35216588,0.47894716
abilah,0.41489816,0.21598777,0.38308263,0.16911697,0.45485362
abing,0.37749326,0.22499704,0.395014,0.27619097,0.5069011
abiogenesis,0.3968609,0.1496729,0.29244247,0.26387006,0.29350415
abiosfer,0.4806849,0.18035951,0.298001,0.28928146,0.6292558
abiotik,0.4579762,0.23100866,0.37309784,0.2772878,0.55900824
abis,0.48864192,0.2157433,0.4277808,0.37151125,0.45331168
abisal,0.3866334,0.20626494,0.4173385,0.38408232,0.5128024
abiseka,0.323346,0.15594655,0.31781256,0.22886541,0.32412836
abiturien,0.45067164,0.17339817,0.3394214,0.25172326,0.51637185
abjad,0.3588597,0.24478766,0.3099663,0.24953371,0.29792958
abjadiah,0.40900996,0.17449068,0.28667152,0.2540508,0.30379856
ablasi,0.41972,0.18783726,0.19090101,0.3054059,0.35420263
ablaut,0.42403233,0.1842809,0.36145636,0.35981923,0.5537165
ablepsia,0.42220974,0.19078204,0.3532591,0.3250973,0.43966702
abnormal,0.578577,0.18750937,0.33318406,0.2637397,0.43502986
abnormalitas,0.4823938,0.17855299,0.18917862,0.22230078,0.29669815
abnus,0.43290854,0.1878117,0.36849535,0.30948177,0.48834503
aboi,0.4458488,0.2859954,0.34505463,0.53048724,0.5923922
abolisi,0.54418474,0.19455396,0.20688048,0.3427127,0.44553685
abon,0.3900134,0.19375071,0.70868015,0.36987662,0.404858
abonemen,0.612785,0.28989398,0.4968943,0.45924324,0.43212485
abong-abong,0.4124024,0.16258854,0.5533025,0.28134197,0.37833145
aborsi,0.56509197,0.42132616,0.33372885,0.37139702,0.36643744
abortif,0.4367957,0.30202875,0.29626027,0.40191722,0.51049936
abortiva,0.36687267,0.22176185,0.33174348,0.3234625,0.5313206
abortus,0.56980765,0.37693328,0.4623121,0.4009896,0.46995306
abrak,0.49973541,0.2290974,0.31483078,0.4488228,0.57489574
abrakadabra,0.47845417,0.19987112,0.27821743,0.3257406,0.4739274
abrar,0.5857096,0.2635377,0.29513058,0.484525,0.42097664
abras,0.4928125,0.16031137,0.35750324,0.340476,0.56019807
abrasi,0.4867381,0.281519,0.23786202,0.4880214,0.513457
abreaksi,0.46940374,0.3038866,0.23543757,0.548065,0.488343
abrek,0.3901546,0.26911676,0.34662917,0.45151174,0.5856837
abreviasi,0.4966716,0.24231885,0.2401548,0.3143515,0.4284472
abrikos,0.50391376,0.23036438,0.38647753,0.31162405,0.47675887
abrit-abrit,0.4199905,0.13933939,0.25207186,0.2924441,0.23018871
abrosfer,0.46515015,0.29677337,0.3618807,0.40706408,0.6069655
absah,0.53631115,0.22334234,0.41887513,0.47056514,0.5332428
absen,0.51450914,0.26885325,0.2888189,0.35990793,0.27902675
absensi,0.63850707,0.3769058,0.36770707,0.39997476,0.3971113
absensia,0.64777875,0.29465276,0.3844121,0.36546993,0.41180706
absente,0.5528633,0.29316372,0.3113876,0.40736103,0.3207113
absenteisme,0.4098917,0.09355454,0.09434051,0.24014875,0.17601928
abses,0.25481257,0.15750223,0.3042341,0.24312404,0.32728243
absis,0.4847094,0.17981109,0.36943877,0.45924172,0.49415058
absolusi,0.5006424,0.12754333,0.20063818,0.26326603,0.16307859
absolut,0.5831738,0.16357385,0.2734449,0.27997908,0.37967288
absolutisme,0.4638855,0.07718716,0.13179773,0.20902772,0.23405814
absonan,0.41596752,0.17437041,0.34523973,0.37870532,0.31659266
absorb,0.62407947,0.2359784,0.44823992,0.36635917,0.45176676
absorben,0.55049944,0.21818337,0.55112153,0.37536922,0.4643977
absorbir,0.5954523,0.26632458,0.45893407,0.46387848,0.5572636
absorpsi,0.552955,0.19676638,0.44069287,0.33332077,0.3196894
absorpsiometer,0.2873643,0.10693143,0.22721839,0.17303495,0.19943674
absorptif,0.61823523,0.2263892,0.36072308,0.34555387,0.38342792
abstain,0.50465095,0.21366751,0.3051328,0.422096,0.37106535
abstinensi,0.43123496,0.13403687,0.18247715,0.3051637,0.26555574
abstrak,0.6399138,0.2408518,0.34809667,0.26871496,0.5037825
abstraksi,0.5136119,0.14389151,0.23196217,0.18620214,0.3106376
absurd,0.36929268,0.115708254,0.26530397,0.27033752,0.31883454
absurdisme,0.36345637,0.08910848,0.17655927,0.24540955,0.25256243
abtar,0.5156536,0.28426248,0.4353677,0.4989298,0.584669
abu,0.5218593,0.25281805,0.4640875,0.3509606,0.52876556
abu-abu,0.45307842,0.16116387,0.3943678,0.255552,0.4273186
abuan,0.48193976,0.12723175,0.38862717,0.30725294,0.47650033
abuh,0.5051075,0.15970835,0.40025848,0.29575294,0.46580195
abuk,0.52434874,0.21752144,0.43526113,0.34116283,0.5030885
abuk-abuk,0.48092777,0.13520655,0.36493227,0.23643667,0.39468396
abul,0.49160576,0.22039144,0.42736608,0.33340716,0.5249644
abulhayat,0.3729688,0.14180154,0.27298903,0.2836461,0.44928345
abulia,0.39304668,0.16914162,0.38385522,0.27514717,0.4760957
abun-abun,0.4234963,0.12564471,0.3480791,0.23079067,0.38321424
abur,0.48330685,0.21771306,0.4019015,0.33867204,0.5167737
abus,0.5675858,0.24086636,0.44487643,0.34021306,0.51254493
abyad,0.5159484,0.25858662,0.4041481,0.38824594,0.5859348
acah,0.42973125,0.3150416,0.40158764,0.5059545,0.5762213
acak,0.5596577,0.29367,0.40490377,0.39440918,0.49504936
acak-acakan,0.29166892,0.112246476,0.19341263,0.16683055,0.21444197
acala,0.37518808,0.25229767,0.41758895,0.4094114,0.5794308
acan,0.3768454,0.16372658,0.29511678,0.29905555,0.5038878
acang,0.3345167,0.25903702,0.33884358,0.45010585,0.5063475
acang-acang,0.34182933,0.2173204,0.34708345,0.3668283,0.42639938
acap,0.49062946,0.16024205,0.18035798,0.29787272,0.30654478
acar,0.31537187,0.24272507,0.32663575,0.46921858,0.56090635
acara,0.45904136,0.37276366,0.33771902,0.81439775,0.49700516
acaram,0.5791706,0.3240903,0.3360122,0.6576094,0.48903865
acat,0.4013049,0.26889396,0.3968648,0.5060111,0.53475666
acau,0.2971037,0.25741896,0.44624677,0.4402998,0.5289458
acawi,0.40857428,0.2530787,0.37783334,0.33275858,0.585963
acerang,0.4206396,0.23632574,0.3911386,0.30556697,0.4727183
aci,0.42693448,0.26268172,0.354684,0.36846173,0.5306095
aci-aci,0.42849115,0.19135208,0.29369572,0.24891287,0.3975345
acik,0.4382857,0.2953328,0.36751264,0.5082708,0.6179385
aco,0.565651,0.23836297,0.38544205,0.37978476,0.6319736
aco-acoan,0.29382265,0.043682404,0.16392042,0.10190821,0.40136665
acu,0.30569324,0.23951429,0.3033973,0.3196014,0.49512792
acuh,0.52962565,0.1285431,0.3571261,0.2727582,0.4021533
acum,0.47466314,0.2969799,0.3773647,0.41429088,0.47067338
acung,0.33362937,0.26797277,0.3001019,0.4590038,0.5331831
ad,0.5874964,0.29831594,0.40935358,0.4516539,0.5996146
ada,0.3057065,0.35319322,0.3743011,0.4400708,0.5926051
adab,0.7570733,0.341015,0.44682896,0.5210978,0.5147917
adad,0.48794538,0.3065567,0.4777484,0.4194768,0.63733304
adagio,0.14589804,0.24390042,0.17833476,0.1404715,0.24046904
adagium,0.375967,0.40442395,0.4029741,0.4635507,0.56825763
adakala,0.5300697,0.2364121,0.4124853,0.40217784,0.5646267
adakalanya,0.44697177,0.17635772,0.20227623,0.28443503,0.34233966
